- José Ponce | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gino Albertengo (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Damián Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Donoso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joseffa Pizarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diana Catalina Quezada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Krishnna Valdés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Katheryn Holm | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Danae Rivas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Barraza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela Garcés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cony Guerrero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Allison Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Esperanza Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- María Elisa Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristel Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Scarlett Pérez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Clara Rivera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- María Gracia Rosales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- María José Tiznado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Macarena Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mariano Leyton | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Sanhueza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ninoska Terrazas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Felipe Silva (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan José Luvera (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Tarifeño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nery Veloso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tiago Ferreyra (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Molina (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Zamorano (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Villegas (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian González (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Monardes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego González Miranda (URU) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Abarzúa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Cortés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gael Acosta (MEX) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gamal Plaza (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Meza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joel Torres (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Lucciano Moreno | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Guillermo Madrigal (MEX) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Saavedra (2006) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Peranic | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Millan (2007) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Vergara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Yáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Durán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Humberto Suazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
